United States,Apr 16 2021,1456376,1278010.14
United States,Apr 17 2021,1008629,1277523
United States,Apr 18 2021,613052,1272860.86
United States,Apr 19 2021,1020136,1267637.71
United States,Apr 20 2021,1570739,1261498.71
United States,Apr 21 2021,1655371,1258512
United States,Apr 22 2021,1498029,1260333.14
United States,Apr 23 2021,1411466,1253917.43
United States,Apr 24 2021,995181,1251996.29
United States,Apr 25 2021,590524,1248778
United States,Apr 26 2021,998992,1245757.43
United States,Apr 27 2021,1574868,1246347.29
United States,Apr 28 2021,1581007,1235723.86
United States,Apr 29 2021,1420395,1224633.29
United States,Apr 30 2021,1316007,1210996.29
United States,May  1 2021,904932,1198103.57
United States,May  2 2021,522785,1188426.57
United States,May  3 2021,897366,1173908.57
United States,May  4 2021,1423274,1152252.29
United States,May  5 2021,1531554,1145187.57
United States,May  6 2021,1310982,1129557.14
United States,May  7 2021,1178729,1109946
United States,May  8 2021,853146,1102548
United States,May  9 2021,485107,1097165.43
United States,May 10 2021,860234,1091860.86
United States,May 11 2021,1336470,1079460.29
United States,May 12 2021,1345300,1052852.57
United States,May 13 2021,1195914,1036414.29
United States,May 14 2021,1086230,1023200.14
United States,May 15 2021,788452,1013958.14
United States,May 16 2021,454459,1009579.86
United States,May 17 2021,798470,1000756.43
United States,May 18 2021,1214788,983373.29
United States,May 19 2021,1180654,959852.43
United States,May 20 2021,1009069,933160.29
United States,May 21 2021,986030,918846
United States,May 22 2021,709963,907633.29
United States,May 23 2021,408925,901128.43
United States,May 24 2021,712917,888906.57
United States,May 25 2021,1074400,868851.14
United States,May 26 2021,1050090,850199.14
United States,May 27 2021,927940,838609.29
United States,May 28 2021,838925,817594.29
United States,May 29 2021,579857,799007.71
United States,May 30 2021,360222,792050.14
United States,May 31 2021,316503,735419.57
United States,Jun  1 2021,708709,683178
United States,Jun  2 2021,1110120,691753.71
United States,Jun  3 2021,989114,700492.86
United States,Jun  4 2021,869849,704910.57
United States,Jun  5 2021,616887,710200.57
United States,Jun  6 2021,368893,711439.29
United States,Jun  7 2021,644569,758305.86
United States,Jun  8 2021,885827,783608.43
United States,Jun  9 2021,867541,748954.29
United States,Jun 10 2021,784784,719764.29
United States,Jun 11 2021,764314,704687.86
United States,Jun 12 2021,557477,696200.71
United States,Jun 13 2021,345627,692877
United States,Jun 14 2021,597743,686187.57
United States,Jun 15 2021,831789,678467.86
United States,Jun 16 2021,791839,667653.29
United States,Jun 17 2021,725088,659125.29
United States,Jun 18 2021,693557,649017.14
United States,Jun 19 2021,496813,640350.86
United States,Jun 20 2021,333410,638605.57
United States,Jun 21 2021,570767,634751.86
United States,Jun 22 2021,782241,627673.57
United States,Jun 23 2021,764327,623743.29
United States,Jun 24 2021,694182,619328.14
United States,Jun 25 2021,673223,616423.29
United States,Jun 26 2021,492566,615816.57
United States,Jun 27 2021,338853,616594.14
United States,Jun 28 2021,552420,613973.14
United States,Jun 29 2021,697249,601831.43
United States,Jun 30 2021,677625,589445.43
United States,Jul  1 2021,642164,582014.29
United States,Jul  2 2021,599582,571494.14
United States,Jul  3 2021,446521,564916.29
United States,Jul  4 2021,260255,553688
United States,Jul  5 2021,306789,518597.86
United States,Jul  6 2021,591039,503425
United States,Jul  7 2021,777814,517737.71
United States,Jul  8 2021,723368,529338.29
United States,Jul  9 2021,665192,538711.14
United States,Jul 10 2021,486604,544437.29
United States,Jul 11 2021,341889,556099.29
United States,Jul 12 2021,587666,596224.57
